epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,195.584,1.2056,0.70484,1.05832,0.98805,1,0.995,0.83084,0.89389,0.59559,0.8953,0.000268938,0.000268938,0.000268938
84,197.945,1.47507,0.92511,1.22807,0.99005,1,0.995,0.80537,0.94166,0.59206,0.90169,0.000254791,0.000254791,0.000254791
85,200.265,1.21879,0.72383,1.06398,0.98941,1,0.995,0.79617,0.94806,0.59493,0.90741,0.000240644,0.000240644,0.000240644
86,202.635,1.17076,0.68533,1.05744,0.98828,1,0.995,0.8135,0.94916,0.58028,0.91171,0.000226497,0.000226497,0.000226497
87,205.016,1.3031,0.72526,1.11108,0.98555,1,0.995,0.78403,0.98313,0.55588,0.92406,0.000212349,0.000212349,0.000212349
88,207.321,1.28747,0.81119,1.09995,0.98762,1,0.995,0.7779,0.98918,0.56917,0.926,0.000198202,0.000198202,0.000198202
89,209.582,1.2594,0.69449,1.10488,0.98819,1,0.995,0.77875,0.99328,0.5823,0.9221,0.000184055,0.000184055,0.000184055
90,211.947,1.17677,0.66755,1.0323,0.98894,1,0.995,0.76563,0.9409,0.5986,0.90503,0.000169908,0.000169908,0.000169908
91,214.825,1.15916,0.66477,1.05286,0.98856,1,0.995,0.77821,0.8805,0.61479,0.89058,0.000155761,0.000155761,0.000155761
92,217.289,1.10973,0.6559,1.04452,0.98794,1,0.995,0.77776,0.86024,0.5876,0.88498,0.000141614,0.000141614,0.000141614
93,219.673,1.1512,0.73107,1.07626,0.9882,1,0.995,0.8016,0.79009,0.58862,0.87423,0.000127467,0.000127467,0.000127467
94,222.015,1.06468,0.63831,1.00356,0.98899,1,0.995,0.78388,0.76372,0.60471,0.86961,0.00011332,0.00011332,0.00011332
95,224.268,1.05488,0.63172,0.9894,0.98506,1,0.995,0.7777,0.80384,0.59996,0.87073,9.91726e-05,9.91726e-05,9.91726e-05
96,226.536,1.15276,0.67626,1.04617,0.98777,1,0.995,0.78045,0.85591,0.58463,0.87822,8.50255e-05,8.50255e-05,8.50255e-05
97,228.747,1.08143,0.66027,1.02581,0.98615,1,0.995,0.79065,0.85971,0.58436,0.87971,7.08784e-05,7.08784e-05,7.08784e-05
98,231.028,1.1245,0.64728,1.02531,0.98634,1,0.995,0.78624,0.88584,0.57808,0.88068,5.67313e-05,5.67313e-05,5.67313e-05
99,233.269,1.14569,0.63728,1.06146,0.98411,1,0.995,0.78669,0.91478,0.5791,0.88697,4.25842e-05,4.25842e-05,4.25842e-05
100,235.571,1.15752,0.69159,1.03821,0.98619,1,0.995,0.79415,0.91348,0.5806,0.88737,2.84371e-05,2.84371e-05,2.84371e-05
